city,state,zip,county,population
Springfield,MA,01104,Hampden,153703
Pasadena,TX,77505,Harris,152735
Fort Collins,CO,80523,Larimer,152061
Hayward,CA,94542,Alameda,151574
Pomona,CA,91769,Los Angeles,151348
Cary,NC,27513,Wake,151088
Rockford,IL,61105,Winnebago,150251
Alexandria,VA,22303,Fairfax,148892
Escondido,CA,92030,San Diego,148738
McKinney,TX,75069,Collin,148559
Kansas City,KS,66102,Wyandotte,148483
Joliet,IL,60433,Will,147806
Sunnyvale,CA,94086,Santa Clara,147559
Torrance,CA,90501,Los Angeles,147478
Bridgeport,CT,06602,Connecticut Metropolitan,147216
Hollywood,FL,33023,Broward,146526
Paterson,NJ,07502,Passaic,145948
Naperville,IL,60540,DuPage,144864
Syracuse,NY,13252,Onondaga,144669
Mesquite,TX,75149,Dallas,143484
Dayton,OH,45422,Montgomery,143355
Savannah,GA,31406,Chatham,142772
Clarksville,TN,37044,Montgomery,142357
Orange,CA,92863,Orange,139969
Pasadena,CA,91199,Los Angeles,139731
Fullerton,CA,92832,Orange,138981
Killeen,TX,76541,Bell,137147
Frisco,TX,75034,Collin,136791
Hampton,VA,23669,Hampton (city),136699
McAllen,TX,78501,Hidalgo,136639
Warren,MI,48090,Macomb,134873
Bellevue,WA,98005,King,133992
West Valley City,UT,84119,Salt Lake,133579
Columbia,SC,29204,Richland,133358
Olathe,KS,66061,Johnson,131885
Sterling Heights,MI,48311,Macomb,131224
New Haven,CT,06511,South Central Regional,130660
Waco,TX,76707,McLennan,129030
Thousand Oaks,CA,91362,Ventura,128731
Cedar Rapids,IA,52406,Linn,128429
Charleston,SC,29403,Charleston,127999
Visalia,CA,93278,Tulare,127763
Topeka,KS,66621,Shawnee,127679
Elizabeth,NJ,07207,Union,127558
Gainesville,FL,32610,Alachua,127488
Thornton,CO,80241,Adams,127359
Roseville,CA,95678,Placer,127035
Carrollton,TX,75007,Denton,126700
Coral Springs,FL,33075,Broward,126604
Stamford,CT,06902,Western Connecticut,126456
Simi Valley,CA,93065,Ventura,126181
Concord,CA,94519,Contra Costa,125880
Hartford,CT,06112,Capitol Region,125017
Kent,WA,98030,King,124435
Lafayette,LA,70504,Lafayette,124276
Midland,TX,79702,Midland,123933
Surprise,AZ,85379,Maricopa,123546
Denton,TX,76204,Denton,123099
Victorville,CA,92394,San Bernardino,121096
Evansville,IN,47701,Vanderburgh,120310
Santa Clara,CA,95052,Santa Clara,120245
Abilene,TX,79604,Taylor,120099
Vallejo,CA,94590,Solano,118837
Allentown,PA,18104,Lehigh,118577
Norman,OK,73071,Cleveland,118197
Beaumont,TX,77702,Jefferson,117796
Independence,MO,64050,Jackson,117240
Murfreesboro,TN,37131,Rutherford,117044
Ann Arbor,MI,48103,Washtenaw,117025
Springfield,IL,62703,Sangamon,117006
Berkeley,CA,94712,Alameda,116768
Peoria,IL,61604,Peoria,116513
Provo,UT,84606,Utah,116288
El Monte,CA,91734,Los Angeles,115708
Columbia,MO,65211,Boone,115276
Lansing,MI,48915,Ingham,113972
Fargo,ND,58106,Cass,113658
Downey,CA,90241,Los Angeles,113242
Costa Mesa,CA,92627,Orange,112174
Wilmington,NC,28403,New Hanover,112067
Arvada,CO,80004,Jefferson,111707
Inglewood,CA,90303,Los Angeles,111542
Miami Gardens,FL,33056,Miami-Dade,111378
Carlsbad,CA,92008,San Diego,110972
Westminster,CO,80035,Adams,110945
Rochester,MN,55905,Olmsted,110742
Odessa,TX,79768,Ector,110720
Manchester,NH,03105,Hillsborough,110378
Elgin,IL,60123,Kane,110145
West Jordan,UT,84084,Salt Lake,110077
Round Rock,TX,78664,Williamson,109821
