old_path,new_path
/resources/atlanta-missouri-sales-tax,/sales-tax-calculator/atlanta-missouri
/resources/atwater-minnesota-sales-tax,/sales-tax-calculator/atwater-minnesota
/resources/auburn-new-york-sales-tax,/sales-tax-calculator/auburn-new-york
/resources/augusta-georgia-sales-tax,/sales-tax-calculator/augusta-georgia
/resources/augusta-wisconsin-sales-tax,/sales-tax-calculator/augusta-wisconsin
/resources/aurora-colorado-sales-tax,/sales-tax-calculator/aurora-colorado
/resources/aurora-indiana-sales-tax,/sales-tax-calculator/aurora-indiana
/resources/austell-georgia-sales-tax,/sales-tax-calculator/austell-georgia
/resources/autaugaville-alabama-sales-tax,/sales-tax-calculator/autaugaville-alabama
/resources/avon-colorado-sales-tax,/sales-tax-calculator/avon-colorado
/resources/azle-texas-sales-tax,/sales-tax-calculator/azle-texas
/resources/baltimore-maryland-sales-tax,/sales-tax-calculator/baltimore-maryland
/resources/bangor-borough-pennsylvania-sales-tax,/sales-tax-calculator/bangor-pennsylvania
/resources/barstow-texas-sales-tax,/sales-tax-calculator/barstow-texas
/resources/barwick-georgia-sales-tax,/sales-tax-calculator/barwick-georgia
/resources/battle-ground-indiana-sales-tax,/sales-tax-calculator/battle-ground-indiana
/resources/bayfield-colorado-sales-tax,/sales-tax-calculator/bayfield-colorado
/resources/beckley-west-virginia-sales-tax,/sales-tax-calculator/beckley-west-virginia
/resources/bellaire-texas-sales-tax,/sales-tax-calculator/bellaire-texas
/resources/belle-center-village-ohio-sales-tax,/sales-tax-calculator/belle-center-ohio
/resources/belleview-florida-sales-tax,/sales-tax-calculator/belleview-florida
/resources/bellevue-idaho-sales-tax,/sales-tax-calculator/bellevue-idaho
/resources/belmore-village-ohio-sales-tax,/sales-tax-calculator/belmore-ohio
/resources/belton-texas-sales-tax,/sales-tax-calculator/belton-texas
/resources/bendersville-borough-pennsylvania-sales-tax,/sales-tax-calculator/bendersville-pennsylvania
/resources/benson-minnesota-sales-tax,/sales-tax-calculator/benson-minnesota
/resources/berrysburg-borough-pennsylvania-sales-tax,/sales-tax-calculator/berrysburg-pennsylvania
/resources/bethel-minnesota-sales-tax,/sales-tax-calculator/bethel-minnesota
/resources/beulaville-north-carolina-sales-tax,/sales-tax-calculator/beulaville-north-carolina
/resources/big-falls-wisconsin-sales-tax,/sales-tax-calculator/big-falls-wisconsin
/resources/biscoe-north-carolina-sales-tax,/sales-tax-calculator/biscoe-north-carolina
/resources/black-diamond-washington-sales-tax,/sales-tax-calculator/black-diamond-washington
/resources/blackwater-missouri-sales-tax,/sales-tax-calculator/blackwater-missouri
/resources/blaine-washington-sales-tax,/sales-tax-calculator/blaine-washington
/resources/blanca-colorado-sales-tax,/sales-tax-calculator/blanca-colorado
/resources/bloomington-illinois-sales-tax,/sales-tax-calculator/bloomington-illinois
/resources/boise-idaho-sales-tax,/sales-tax-calculator/boise-idaho
/resources/bolingbrook-village-illinois-sales-tax,/sales-tax-calculator/bolingbrook-illinois
